18	A woman is talking about her usual Saturday routine. What does she usually do on Saturdays?	Goes shopping	Sees her family	Goes to a birthday party	Normally, on Saturdays, I spend the day with my family. We like to have brunch together and then do some fun activities, like playing board games or going for a walk. It’s a nice way to relax and catch up. But this week, I have something different planned. I’m going to see a friend for her birthday and go shopping together instead. I’m looking forward to it, but I know I’ll miss our usual family time!
19	A man is talking about his family trip. What does the man’s wife enjoy?	Photography	Shopping	Hiking	On our family trip last summer, we had such a great time! My wife really enjoys photography. So, when we went walking together in the parks, she spent a lot of time taking pictures of the beautiful landscapes. Well, at least she is not crazy about shopping.
20	A woman is talking about her job. What encouraged her to become a scientist?	Her computer	Her mother	A large stone	I’ve always loved science, but there was a moment that really encouraged me to become a scientist. I remember when I was a child, I found a large stone during a school trip. It sparked my curiosity about geology. My mother also inspired me to explore my interests in science. Of course, I use the computer a lot now for my research, but that stone was the beginning.
21	Listen to the speaker talking about their weekly schedule. When is the meeting scheduled?	Monday morning	Friday afternoon	Wednesday afternoon	This week is pretty busy, but the most important thing is the meeting on Wednesday afternoon. We usually have it on Monday, but this time we had to change the day. Wednesday works better because everyone is free. I have a lot to prepare before then, so I'll spend Tuesday getting everything ready. It's a big meeting, and we need to finalize some plans. I'm just glad it's not on Friday, or I'd be too tired!
22	A man is reading the news about a housing development plan. How many new houses are going to be built?	1500	2000	2500	I just heard the news that the local authority is planning to build 2000 new houses! I remember they were initially saying it would only be 1500. But then I heard someone mention 2500! That’s quite a jump. I wonder how this will affect the neighborhood. Will it bring in more families or just more traffic? It’ll be interesting to see how it all unfolds.
23	Listen to a writer talking about her job. What is her first job?	Writer	Librarian	Teacher	When I was younger, I didn’t always dream of being a writer. My first job was actually as a teacher. I taught English to small children, and I loved helping them learn to read and write. It wasn’t easy, though. I spent a lot of time grading papers and preparing lessons. But that job taught me how to use words well, and now I write stories for everyone to enjoy.
24	Listen to Marry talking to Jane while waiting for James. What did they decide to do?	Cancel the meeting	Having the meeting without him	Wait for him longer	Hi, Jane! It looks like James is running late again. I’m starting to wonder if we should wait for him. I don’t want to waste too much time. I feel like we could have the meeting without him. We have a lot to discuss, and we can always update him later. I think it’s better to move forward instead of just waiting. So let’s go ahead.
25	A woman is talking to her coworker. When does the meeting start?	10.15	10.30	9.45	Hey, just wanted to give you a quick heads-up. I won’t be able to join the meeting with the clients at 10:15 like we planned—I’ve got something that suddenly came up. I know it’s last minute, but could you go ahead and handle the presentation on your own? You’re familiar with everything, so I trust you’ve got this. Let me know how it goes afterward. Thanks, I really appreciate it!
26	Vincent is calling James. Why does Vincent call James?	Invite him to a party	Suggest a drink	Ask for help	Hi James, it’s Vincent. I just want to check in and see how you’re doing. It’s been a while since we last caught up! How about we grab a drink later? I know a great new place that has very nice tea. You should definitely try it next time you visit me. Text me back!
27	What did the mother call her daughter to help her buy?	eggs	bread	milk	Hi Sally, it’s Mom. How are you? I just wanted to remind you about dinner tonight. We’re having your favorite, spaghetti! Don’t forget to pick up your brother from school at 4 o’clock. Oh, and can you stop by the store on your way home? We’re out of eggs, and I need some to finish baking the cake. Thanks, sweetie!
28	Samia is going to meet her friend. What time are they going to meet?	09:30	11:00	10:00	Hey! I was thinking about our meet-up. We plan to meet at 9:30, but I just realized I have a class that finishes at 9:00, so I might not make it in time. How about we meet at 10:00 instead? That should give me enough time to get there. Does that work for you?
29	Anna is calling her brother Max. What does Anna do later in the afternoon?	Pick up the kids	Stay late at the office	Hang out with friends	Hey Max, it’s Anna. I want to ask you for a favor this afternoon. I have to stay late at the office to finish some work. Could you please pick up my kids from school? After that, I know you’ll want to hang out with your friends, so feel free to take them along. I really appreciate your help!
30	A woman is talking about her favorite film on the radio. What film did she recommend?	Action film	Romantic film	Comedy film	Today, I want to recommend an action film that really impressed me. The lead actor, who is usually known for his romantic roles, delivered an outstanding performance. Of course, if you’re in the mood for something lighter, there are plenty of comedies to enjoy as well. But if you’re looking for excitement, this action film is definitely worth a watch!
31	Where does Malik want to go?	The town hall	The library	The park	Malik has been hearing a lot about an important event, and the town hall is where he wants to go because he believes it will give him a chance to learn more, engage with the community, and share his own ideas.
32	Greg is talking about a working day in his life. How does he go to work?	By bus	By car	By bike	Hi, everyone! I’m Greg, and I want to tell you about a typical working day in my life. I usually wake up early, around 7 A.M. After a quick breakfast, I get ready for work. I like to wear smart clothes because I work in an office. I go by bus every day, which takes about 30 minutes. I enjoy looking out the window and listening to music on my way. When I arrive at the office, I start my day by checking emails and planning my tasks. I have meetings with my team, and we work together on projects.
